Exchange,Base,Quote,Time,Open,High,Low,Close,Quote Volume,Base Volume
KRAKEN,BTC,USD,2022-12-23 10:30,16859,16887.2,16851.1,16851.5,1062577.29,63.04370573
KRAKEN,BTC,USD,2022-12-23 10:45,16851.5,16864.1,16850,16856.1,84599.9547,5.01756685
KRAKEN,BTC,USD,2022-12-23 11:00,16856.1,16859.8,16840.1,16848.5,431356.2488,25.60402331
KRAKEN,BTC,USD,2022-12-23 11:15,16848.5,16848.5,16846.1,16846.1,33560.578,1.99216439
KRAKEN,BTC,USD,2022-12-23 11:30,16846.2,16846.2,16845,16845,66258.8476,3.93323987
KRAKEN,BTC,USD,2022-12-23 11:45,16845.1,16855.1,16845,16845.1,104385.8751,6.19550347
KRAKEN,BTC,USD,2022-12-23 12:00,16845,16845.1,16845,16845,55945.34562,3.32116701
KRAKEN,BTC,USD,2022-12-23 12:15,16845,16860.7,16845,16860.7,69016.22931,4.09601132
KRAKEN,BTC,USD,2022-12-23 12:30,16859.9,16863.4,16853.4,16855.7,126686.5278,7.51400357
KRAKEN,BTC,USD,2022-12-23 12:45,16855.8,16872.1,16855.8,16870.8,54378.99537,3.22406841
KRAKEN,BTC,USD,2022-12-23 13:00,16870.9,16877.4,16860.5,16864,391264.3084,23.19611343
KRAKEN,BTC,USD,2022-12-23 13:15,16864.9,16881.8,16831.3,16832.8,125308.2084,7.43068541
KRAKEN,BTC,USD,2022-12-23 13:30,16841.2,16949.9,16749.9,16885,3492073.358,207.7035883
KRAKEN,BTC,USD,2022-12-23 13:45,16887.5,16910.5,16827.9,16841.5,995046.3129,59.02758402
KRAKEN,BTC,USD,2022-12-23 14:00,16841.5,16850.6,16815.5,16820.1,141689.576,8.41754236
KRAKEN,BTC,USD,2022-12-23 14:15,16821.8,16826.3,16787.3,16799,210168.3494,12.50791852
KRAKEN,BTC,USD,2022-12-23 14:30,16799,16830.9,16756.8,16797,3306888.76,197.0847103
KRAKEN,BTC,USD,2022-12-23 14:45,16794.6,16801.9,16782.4,16789.1,638379.3408,38.01911635
KRAKEN,BTC,USD,2022-12-23 15:00,16789.1,16839.8,16782.5,16812,425836.0083,25.32429855
KRAKEN,BTC,USD,2022-12-23 15:15,16812.1,16844.9,16812,16837.1,183176.9047,10.88246248
KRAKEN,BTC,USD,2022-12-23 15:30,16838.3,16886.2,16838.3,16873.8,263671.2302,15.63562467
KRAKEN,BTC,USD,2022-12-23 15:45,16873.8,16873.8,16829.5,16834.1,120618.7217,7.15984507
KRAKEN,BTC,USD,2022-12-23 16:00,16831,16843.2,16820.2,16838.3,66874.65707,3.97309042
KRAKEN,BTC,USD,2022-12-23 16:15,16832.8,16839.7,16813.2,16825.4,572680.7697,34.04630327
KRAKEN,BTC,USD,2022-12-23 16:30,16827.5,16845.9,16826.2,16832.1,495296.3609,29.41330457
KRAKEN,BTC,USD,2022-12-23 16:45,16830.9,16839.7,16820.1,16824,105973.397,6.29693809
KRAKEN,BTC,USD,2022-12-23 17:00,16824.1,16836.5,16824,16834.9,343913.7327,20.4387519
KRAKEN,BTC,USD,2022-12-23 17:15,16834.9,16853.9,16831.9,16841.1,333593.6921,19.80252016
